決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:令和4年度末現在高,002:令和5年度・歳出決算額,003:令和5年度・取崩し額,004:令和5年度・歳計剰余金処分によるもの,005:調整額,006:令和5年度末現在高,007:6列の管理状況・現金・預金,008:6列の管理状況・信託,009:6列の管理状況・有価証券,010:6列の管理状況・有価証券・うち地方債,011:6列の管理状況・出資金,012:6列の管理状況・その他
2023,62,110001,埼玉県,埼玉県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,97959702,45250063,25355000,0,0,117854765,41153711,0,76701054,75399264,0,0
2023,62,120006,千葉県,千葉県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,95494396,3202164,0,0,0,98696560,98696560,0,0,0,0,0
2023,62,130001,東京都,東京都,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,649764469,48753101,66276794,0,0,632240776,532125619,0,115157,0,0,100000000
2023,62,140007,神奈川県,神奈川県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,66185028,4706940,439,0,0,70891529,70891529,0,0,0,0,0
2023,62,150002,新潟県,新潟県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,48818168,20206948,17500000,0,0,51525116,51503714,0,21402,0,0,0
2023,62,160008,富山県,富山県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,3441379,180070,1064955,0,0,2556494,2556494,0,0,0,0,0
2023,62,170003,石川県,石川県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,13513164,8717656,7700000,932681,0,15463501,15463501,0,0,0,0,0
2023,62,180009,福井県,福井県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,9426784,1000458,0,0,0,10427242,10427242,0,0,0,0,0
2023,62,190004,山梨県,山梨県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,26229398,10185,0,0,0,26239583,26239583,0,0,0,0,0
2023,62,200000,長野県,長野県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,40116579,460,4600000,4972000,0,40489039,40489039,0,0,0,0,0
2023,62,210005,岐阜県,岐阜県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,32991050,3146369,0,0,0,36137419,36137419,0,0,0,0,0
2023,62,220001,静岡県,静岡県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,5729013,2735,0,0,0,5731748,5731748,0,0,0,0,0
2023,62,230006,愛知県,愛知県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,182462345,98967,30400000,0,0,152161312,152161312,0,0,0,0,0
2023,62,240001,三重県,三重県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,53255610,9973163,21284752,9390000,0,51334021,49989993,0,1344028,1344028,0,0
2023,62,250007,滋賀県,滋賀県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,28751907,3064209,0,0,0,31816116,31816116,0,0,0,0,0
2023,62,260002,京都府,京都府,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,21060,6048138,5548137,0,0,521061,521061,0,0,0,0,0
2023,62,270008,大阪府,大阪府,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,333179975,37992842,45354763,9117587,0,334935641,334935641,0,0,0,0,0
2023,62,280003,兵庫県,兵庫県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,6699230,22799115,5106000,0,0,24392345,24392345,0,0,0,0,0
2023,62,290009,奈良県,奈良県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,24212526,1453774,0,0,0,25666300,20666300,0,5000000,0,0,0
2023,62,300004,和歌山県,和歌山県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,4634043,6520218,1521652,0,0,9632609,9632609,0,0,0,0,0
2023,62,310000,鳥取県,鳥取県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,4003418,187,0,0,0,4003605,4003605,0,0,0,0,0
2023,62,320005,島根県,島根県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,17804992,71025,0,0,0,17876017,4683776,0,13192241,1485869,0,0
2023,62,330001,岡山県,岡山県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,36687703,4381627,10607371,0,0,30461959,26204347,0,4257612,2729353,0,0
2023,62,340006,広島県,広島県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,25593037,4804130,0,0,0,30397167,30397167,0,0,0,0,0
2023,62,350001,山口県,山口県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,27631695,12549550,17800000,0,0,22381245,22381245,0,0,0,0,0
2023,62,360007,徳島県,徳島県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,19672401,5801381,6500000,0,0,18973782,18973782,0,0,0,0,0
2023,62,370002,香川県,香川県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,17082148,3190161,3561321,0,0,16710988,16710988,0,0,0,0,0
